season,ARI,ATL,BAL,BUF,CAR,CHI,CIN,CLE,DAL,DEN,DET,GB,HOU,IND,JAX,KC,LA,LAC,MIA,MIN,NE,NO,NYG,NYJ,OAK,PHI,PIT,SEA,SF,TB,TEN,WAS
2009,82.0,59.0,122.0,37.0,43.0,85.0,49.0,46.0,79.0,99.0,49.0,58.0,74.0,57.0,46.0,60.0,25.0,107.0,80.0,111.0,69.0,106.0,76.0,77.0,22.0,71.0,61.0,46.0,71.0,38.0,67.0,84.0
2010,42.0,82.0,75.0,63.0,51.0,83.0,57.0,36.0,104.0,78.0,62.0,108.0,108.0,67.0,86.0,76.0,51.0,106.0,59.0,85.0,137.0,73.0,102.0,90.0,78.0,67.0,43.0,84.0,50.0,70.0,83.0,50.0
2011,78.0,73.0,77.0,77.0,83.0,79.0,86.0,34.0,62.0,73.0,122.0,150.0,63.0,35.0,32.0,43.0,37.0,115.0,89.0,61.0,140.0,125.0,59.0,75.0,66.0,74.0,63.0,89.0,101.0,61.0,66.0,59.0
2012,36.0,68.0,96.0,77.0,75.0,76.0,62.0,69.0,84.0,150.0,57.0,88.0,105.0,79.0,43.0,43.0,55.0,69.0,70.0,71.0,103.0,110.0,73.0,65.0,54.0,78.0,71.0,86.0,99.0,87.0,64.0,95.0
2013,91.0,56.0,64.0,74.0,86.0,89.0,102.0,70.0,96.0,135.0,88.0,113.0,53.0,106.0,50.0,63.0,78.0,85.0,87.0,85.0,85.0,70.0,80.0,62.0,67.0,110.0,104.0,87.0,71.0,33.0,65.0,81.0
2014,55.0,105.0,90.0,78.0,78.0,82.0,90.0,81.0,110.0,131.0,60.0,90.0,86.0,121.0,45.0,77.0,47.0,91.0,135.0,37.0,100.0,76.0,71.0,55.0,55.0,126.0,52.0,82.0,57.0,51.0,71.0,78.0
2015,140.0,56.0,57.0,77.0,129.0,45.0,91.0,47.0,45.0,56.0,56.0,86.0,81.0,58.0,93.0,62.0,63.0,51.0,66.0,91.0,99.0,81.0,73.0,93.0,84.0,95.0,79.0,110.0,42.0,72.0,84.0,60.0
2016,81.0,134.0,62.0,107.0,88.0,51.0,69.0,36.0,82.0,40.0,52.0,59.0,64.0,73.0,64.0,60.0,26.0,110.0,110.0,58.0,106.0,88.0,59.0,44.0,88.0,94.0,59.0,46.0,25.0,97.0,59.0,96.0
2017,55.0,51.0,65.0,57.0,99.0,41.0,43.0,53.0,46.0,81.0,94.0,47.0,63.0,66.0,103.0,90.0,117.0,84.0,71.0,83.0,96.0,97.0,35.0,80.0,58.0,107.0,87.0,97.0,70.0,57.0,91.0,50.0
2018,31.0,41.0,93.0,50.0,33.0,83.0,54.0,93.0,46.0,79.0,57.0,103.0,60.0,66.0,67.0,119.0,116.0,92.0,59.0,67.0,59.0,96.0,71.0,83.0,63.0,94.0,94.0,62.0,99.0,68.0,65.0,32.0
