Team,Fans (Millions)
DAL,8.58
NE,7.07
PIT,6.38
GB,5.3
DEN,4.25
SF,4.05
NO,4.02
CHI,4
SEA,3.93
NYG,3.86
OAK,3.37
PHI,3.25
CAR,2.33
BAL,2.27
MIA,2.26
IND,2.19
HOU,2.18
MIN,2.16
ATL,2
WAS,1.92
NYJ,1.88
DET,1.87
KC,1.62
LAC,1.54
ARI,1.45
CLE,1.31
CIN,1.15
TEN,0.95
TB,0.94
BUF,0.89
LA,0.86
JAX,0.63
